variant,cases,pct_of_cases
A_Create Application -> W_Complete application -> W_Complete application -> A_Concept -> A_Accepted -> O_Create Offer -> O_Created -> O_Sent (mail and online) -> W_Complete application -> W_Call after offers -> W_Call after offers -> A_Complete -> W_Call after offers -> W_Call after offers -> W_Call after offers -> W_Call after offers -> W_Validate application -> W_Validate application -> A_Validating -> O_Returned -> W_Validate application -> W_Validate application -> W_Call incomplete files -> W_Call incomplete files -> A_Incomplete -> W_Call incomplete files -> W_Call incomplete files -> W_Call incomplete files -> O_Accepted -> A_Pending -> W_Call incomplete files,170,0.54
A_Create Application -> A_Submitted -> W_Handle leads -> W_Handle leads -> W_Handle leads -> W_Complete application -> W_Complete application -> A_Concept -> W_Complete application -> W_Complete application -> A_Accepted -> O_Create Offer -> O_Created -> O_Sent (mail and online) -> W_Complete application -> W_Call after offers -> W_Call after offers -> A_Complete -> W_Call after offers -> W_Call after offers -> W_Call after offers -> A_Cancelled -> O_Cancelled -> W_Call after offers,157,0.5
A_Create Application -> A_Submitted -> W_Handle leads -> W_Handle leads -> W_Complete application -> A_Concept -> W_Complete application -> A_Accepted -> O_Create Offer -> O_Created -> O_Sent (mail and online) -> W_Complete application -> W_Call after offers -> W_Call after offers -> A_Complete -> W_Call after offers -> W_Call after offers -> W_Call after offers -> W_Call after offers -> W_Validate application -> W_Validate application -> A_Validating -> O_Returned -> W_Validate application -> W_Validate application -> W_Call incomplete files -> W_Call incomplete files -> A_Incomplete -> W_Call incomplete files -> W_Call incomplete files -> W_Call incomplete files -> O_Accepted -> A_Pending -> W_Call incomplete files,140,0.44
A_Create Application -> A_Submitted -> W_Handle leads -> W_Handle leads -> W_Complete application -> A_Concept -> W_Complete application -> W_Complete application -> W_Complete application -> W_Complete application -> W_Complete application -> W_Complete application -> A_Accepted -> O_Create Offer -> O_Created -> O_Sent (mail and online) -> W_Complete application -> W_Call after offers -> W_Call after offers -> A_Complete -> W_Call after offers -> W_Call after offers -> W_Call after offers -> A_Cancelled -> O_Cancelled -> W_Call after offers,138,0.44
A_Create Application -> A_Submitted -> W_Handle leads -> W_Handle leads -> W_Complete application -> A_Concept -> W_Complete application -> A_Accepted -> O_Create Offer -> O_Created -> O_Create Offer -> O_Created -> O_Sent (mail and online) -> O_Sent (mail and online) -> W_Complete application -> W_Call after offers -> W_Call after offers -> A_Complete -> W_Call after offers -> W_Call after offers -> W_Call after offers -> A_Cancelled -> O_Cancelled -> O_Cancelled -> W_Call after offers,134,0.43
A_Create Application -> A_Submitted -> W_Handle leads -> W_Handle leads -> W_Handle leads -> W_Complete application -> W_Complete application -> A_Concept -> W_Complete application -> W_Complete application -> W_Complete application -> A_Accepted -> O_Create Offer -> O_Created -> O_Sent (mail and online) -> W_Complete application -> W_Call after offers -> W_Call after offers -> A_Complete -> W_Call after offers -> W_Call after offers -> W_Call after offers -> A_Cancelled -> O_Cancelled -> W_Call after offers,132,0.42
A_Create Application -> A_Concept -> W_Complete application -> W_Complete application -> A_Accepted -> O_Create Offer -> O_Created -> O_Sent (mail and online) -> W_Complete application -> W_Call after offers -> W_Call after offers -> A_Complete -> W_Call after offers -> W_Call after offers -> W_Call after offers -> W_Call after offers -> W_Validate application -> W_Validate application -> A_Validating -> O_Returned -> W_Validate application -> O_Accepted -> A_Pending -> W_Validate application,127,0.4
A_Create Application -> A_Submitted -> W_Handle leads -> W_Handle leads -> W_Complete application -> A_Concept -> W_Complete application -> W_Complete application -> A_Accepted -> O_Create Offer -> O_Created -> O_Sent (mail and online) -> W_Complete application -> W_Call after offers -> W_Call after offers -> A_Complete -> W_Call after offers -> W_Call after offers -> W_Call after offers -> W_Call after offers -> W_Validate application -> W_Validate application -> A_Validating -> O_Returned -> W_Validate application -> W_Validate application -> W_Call incomplete files -> W_Call incomplete files -> A_Incomplete -> W_Call incomplete files -> W_Call incomplete files -> W_Call incomplete files -> O_Accepted -> A_Pending -> W_Call incomplete files,125,0.4
A_Create Application -> A_Concept -> W_Complete application -> W_Complete application -> A_Accepted -> O_Create Offer -> O_Created -> O_Sent (mail and online) -> W_Complete application -> W_Call after offers -> W_Call after offers -> A_Complete -> W_Call after offers -> W_Call after offers -> W_Call after offers -> A_Cancelled -> O_Cancelled -> W_Call after offers,121,0.38
A_Create Application -> W_Complete application -> W_Complete application -> A_Concept -> A_Accepted -> O_Create Offer -> O_Created -> O_Create Offer -> O_Created -> O_Sent (mail and online) -> O_Sent (mail and online) -> W_Complete application -> W_Call after offers -> W_Call after offers -> A_Complete -> W_Call after offers -> W_Call after offers -> W_Call after offers -> A_Cancelled -> O_Cancelled -> O_Cancelled -> W_Call after offers,99,0.31
